product_id,name,description,price,stock,category_id
1,Chicken - Whole Roasting,Affordable option with great value,827.45,357,0
2,Beer - Rickards Red,Luxurious item for special occasions,87.86,362,1
3,Hold Up Tool Storage Rack,Luxurious item for special occasions,536.88,95,3
4,Lobster - Tail 6 Oz,Practical and versatile choice for everyday use,681.84,425,0
5,Mix - Cocktail Ice Cream,Affordable option with great value,125.8,264,2
6,Wine - Baron De Rothschild,High-quality product with durable materials,537.89,316,0
7,"Cheese - Mozzarella, Buffalo",Luxurious item for special occasions,741.62,390,4
8,"Stock - Beef, Brown",Affordable option with great value,967.59,451,0
9,Appetizer - Lobster Phyllo Roll,Affordable option with great value,425.41,473,1
10,Snapple - Mango Maddness,Unique design that stands out,210.54,322,1
11,Papadam,Unique design that stands out,341.53,147,4
12,Ocean Spray - Kiwi Strawberry,Unique design that stands out,121.43,472,4
13,Beef - Rib Eye Aaa,Unique design that stands out,563.21,500,3
14,"Tendrils - Baby Pea, Organic",Unique design that stands out,23.69,115,3
15,Cheese - Sheep Milk,Unique design that stands out,214.56,19,2
16,Dried Apple,Affordable option with great value,703.47,482,0
17,Grenadine,Practical and versatile choice for everyday use,892.92,361,0
18,"Rum - Spiced, Captain Morgan",Affordable option with great value,278.09,322,1
19,Wine - George Duboeuf Rose,Luxurious item for special occasions,96.85,50,4
20,Muskox - French Rack,Unique design that stands out,31.71,35,3
21,Rootbeer,High-quality product with durable materials,648.62,305,1
22,Food Colouring - Red,Luxurious item for special occasions,747.51,270,4
23,"Schnappes - Peach, Walkers",High-quality product with durable materials,575.51,389,3
24,Cheese - Gouda Smoked,Unique design that stands out,419.53,271,0
25,Hog / Sausage Casing - Pork,Luxurious item for special occasions,990.75,398,4
26,The Pop Shoppe - Root Beer,Affordable option with great value,121.4,414,2
27,Cocoa Butter,Luxurious item for special occasions,616.33,400,4
28,"Veal - Round, Eye Of",Unique design that stands out,242.28,225,2
29,Sprouts - China Rose,Unique design that stands out,699.79,195,4
30,Papayas,Affordable option with great value,596.78,277,3
31,Cookie Chocolate Chip With,High-quality product with durable materials,481.24,161,1
32,Cabbage - Green,Luxurious item for special occasions,958.63,159,3
33,"Soup - Campbells, Classic Chix",Unique design that stands out,343.46,447,4
34,Ecolab - Hand Soap Form Antibac,Luxurious item for special occasions,626.95,300,4
35,Chocolate - Dark Callets,High-quality product with durable materials,33.79,44,3
36,"Cake Circle, Foil, Scallop",Affordable option with great value,123.73,458,0
37,"Red Snapper - Fresh, Whole",Practical and versatile choice for everyday use,803.89,178,4
38,"Beef - Chuck, Boneless",Practical and versatile choice for everyday use,914.96,336,1
39,Shrimp - 150 - 250,Luxurious item for special occasions,351.27,309,2
40,Bulgar,Practical and versatile choice for everyday use,859.69,440,2
41,Oil - Pumpkinseed,Unique design that stands out,137.17,378,3
42,Wine - Prosecco Valdobienne,Practical and versatile choice for everyday use,414.22,305,4
43,Parsley - Fresh,Affordable option with great value,895.27,33,0
44,Cinnamon - Stick,Luxurious item for special occasions,93.8,23,4
45,Wine - Touraine Azay - Le - Rideau,High-quality product with durable materials,879.39,268,4
46,Apricots Fresh,High-quality product with durable materials,640.89,358,0
47,Onions - Red,Affordable option with great value,30.21,299,4
48,Cheese - Comte,Practical and versatile choice for everyday use,396.67,294,4
49,"Crab - Claws, 26 - 30",Unique design that stands out,661.58,294,4
50,Beef - Kobe Striploin,Unique design that stands out,942.55,176,0
51,"Soup - Knorr, Ministrone",Affordable option with great value,768.59,97,2
52,Flour - So Mix Cake White,High-quality product with durable materials,395.26,92,4
53,Wine - Baron De Rothschild,Unique design that stands out,640.8,494,4
54,"Juice - Orange, 341 Ml",Luxurious item for special occasions,797.26,218,0
55,Chicken - Base,Affordable option with great value,76.95,417,0
56,"Pasta - Bauletti, Chicken White",Practical and versatile choice for everyday use,836.84,56,1
57,Corn Meal,Unique design that stands out,746.32,227,1
58,Potatoes - Idaho 100 Count,Practical and versatile choice for everyday use,449.01,282,1
59,Shrimp - Black Tiger 16/20,Luxurious item for special occasions,118.33,405,0
60,Sprouts - Bean,Affordable option with great value,173.01,80,0
61,Rice - Sushi,Practical and versatile choice for everyday use,366.81,171,0
62,Shopper Bag - S - 4,Unique design that stands out,549.85,2,3
63,Cinnamon - Stick,High-quality product with durable materials,983.89,474,1
64,Beets,Unique design that stands out,594.95,273,1
65,Chips - Miss Vickies,Unique design that stands out,728.71,498,1
66,Butcher Twine 4r,Practical and versatile choice for everyday use,53.72,305,1
67,Onions - Cippolini,Affordable option with great value,754.52,430,1
68,Jerusalem Artichoke,Unique design that stands out,562.58,308,3
69,Sauce - Mint,Affordable option with great value,487.19,457,3
70,Water - Aquafina Vitamin,Affordable option with great value,160.85,487,2
71,"Lemonade - Strawberry, 591 Ml",Unique design that stands out,500.44,254,1
72,"Apple - Delicious, Red",Practical and versatile choice for everyday use,221.41,279,4
73,Bread - Raisin,Affordable option with great value,51.29,445,1
74,"Pasta - Tortellini, Fresh",Affordable option with great value,522.17,182,4
75,Pork - European Side Bacon,Affordable option with great value,122.08,172,3
76,"Cheese - Romano, Grated",Affordable option with great value,683.38,344,0
77,"Salmon - Atlantic, Fresh, Whole",High-quality product with durable materials,118.07,490,1
78,Pastry - Lemon Danish - Mini,High-quality product with durable materials,714.26,61,4
79,Tuna - Salad Premix,Affordable option with great value,381.37,413,4
80,Strawberries - California,Affordable option with great value,250.5,428,1
81,Muffin - Mix - Bran And Maple 15l,Luxurious item for special occasions,409.28,465,2
82,Crackers - Graham,High-quality product with durable materials,128.58,309,4
83,Raspberries - Fresh,Practical and versatile choice for everyday use,336.25,272,1
84,Wine - Jackson Triggs Okonagan,Practical and versatile choice for everyday use,705.61,66,1
85,Appetizer - Lobster Phyllo Roll,Practical and versatile choice for everyday use,720.73,355,2
86,"Chicken - Diced, Cooked",Luxurious item for special occasions,100.44,423,3
87,Pasta - Fusili Tri - Coloured,High-quality product with durable materials,793.71,39,2
88,Container - Clear 16 Oz,Practical and versatile choice for everyday use,348.52,458,4
89,Bread - 10 Grain Parisian,Luxurious item for special occasions,70.95,153,0
90,Thyme - Fresh,Affordable option with great value,308.17,130,0
91,Beans - Kidney White,Unique design that stands out,135.59,306,1
92,Chips Potato All Dressed - 43g,Luxurious item for special occasions,145.77,96,3
93,Wine - Chablis 2003 Champs,High-quality product with durable materials,637.67,251,2
94,Oil - Grapeseed Oil,High-quality product with durable materials,312.2,344,3
95,"Bread - Multigrain, Loaf",Luxurious item for special occasions,887.64,102,4
96,"Pasta - Gnocchi, Potato",Practical and versatile choice for everyday use,925.65,0,3
97,Turnip - White,High-quality product with durable materials,757.67,84,1
98,Goat - Leg,Practical and versatile choice for everyday use,666.71,299,4
99,Goldschalger,Luxurious item for special occasions,321.15,332,0
100,Wine - Marlbourough Sauv Blanc,Unique design that stands out,390.3,235,4
